N,P,Total Images,Skipped Images,Accuracy,Coverage
0.95,0.95,339,339,,0.0
0.95,0.9,339,339,,0.0
0.95,0.85,339,339,,0.0
0.95,0.8,339,339,,0.0
0.95,0.75,339,339,,0.0
0.95,0.7,339,339,,0.0
0.95,0.65,339,339,,0.0
0.95,0.6,339,339,,0.0
0.95,0.55,339,339,,0.0
0.95,0.5,339,339,,0.0
0.95,0.45,339,339,,0.0
0.95,0.4,339,339,,0.0
0.95,0.35,339,339,,0.0
0.95,0.3,339,339,,0.0
0.95,0.25,339,339,,0.0
0.95,0.2,339,339,,0.0
0.9,0.95,339,337,0.5,0.005899705014749263
0.9,0.9,339,337,0.5,0.005899705014749263
0.9,0.85,339,337,0.5,0.005899705014749263
0.9,0.8,339,337,0.5,0.005899705014749263
0.9,0.75,339,337,0.5,0.005899705014749263
0.9,0.7,339,337,0.5,0.005899705014749263
0.9,0.65,339,337,0.5,0.005899705014749263
0.9,0.6,339,337,0.5,0.005899705014749263
0.9,0.55,339,337,0.5,0.005899705014749263
0.9,0.5,339,337,0.5,0.005899705014749263
0.9,0.45,339,336,0.6666666666666666,0.008849557522123894
0.9,0.4,339,336,0.6666666666666666,0.008849557522123894
0.9,0.35,339,336,0.6666666666666666,0.008849557522123894
0.9,0.3,339,336,0.6666666666666666,0.008849557522123894
0.9,0.25,339,336,0.6666666666666666,0.008849557522123894
0.9,0.2,339,336,0.6666666666666666,0.008849557522123894
0.85,0.95,339,312,0.9629629629629628,0.07964601769911504
0.85,0.9,339,312,0.9629629629629628,0.07964601769911504
0.85,0.85,339,312,0.9629629629629628,0.07964601769911504
0.85,0.8,339,312,0.9629629629629628,0.07964601769911504
0.85,0.75,339,312,0.9629629629629628,0.07964601769911504
0.85,0.7,339,312,0.9629629629629628,0.07964601769911504
0.85,0.65,339,311,0.9642857142857144,0.08259587020648967
0.85,0.6,339,311,0.9642857142857144,0.08259587020648967
0.85,0.55,339,311,0.9642857142857144,0.08259587020648967
0.85,0.5,339,311,0.9642857142857144,0.08259587020648967
0.85,0.45,339,310,0.9655172413793104,0.0855457227138643
0.85,0.4,339,310,0.9655172413793104,0.0855457227138643
0.85,0.35,339,310,0.9655172413793104,0.0855457227138643
0.85,0.3,339,310,0.9655172413793104,0.0855457227138643
0.85,0.25,339,309,0.9666666666666668,0.08849557522123894
0.85,0.2,339,308,0.967741935483871,0.09144542772861357
0.8,0.95,339,294,0.9777777777777776,0.13274336283185842
0.8,0.9,339,293,0.9782608695652174,0.13569321533923304
0.8,0.85,339,293,0.9782608695652174,0.13569321533923304
0.8,0.8,339,293,0.9782608695652174,0.13569321533923304
0.8,0.75,339,291,0.9791666666666666,0.1415929203539823
0.8,0.7,339,290,0.9795918367346941,0.14454277286135694
0.8,0.65,339,288,0.9803921568627452,0.1504424778761062
0.8,0.6,339,288,0.9803921568627452,0.1504424778761062
0.8,0.55,339,286,0.9622641509433962,0.15634218289085547
0.8,0.5,339,285,0.9444444444444444,0.1592920353982301
0.8,0.45,339,284,0.9454545454545454,0.16224188790560473
0.8,0.4,339,284,0.9454545454545454,0.16224188790560473
0.8,0.35,339,284,0.9454545454545454,0.16224188790560473
0.8,0.3,339,282,0.9473684210526316,0.16814159292035402
0.8,0.25,339,281,0.9482758620689656,0.1710914454277286
0.8,0.2,339,279,0.95,0.17699115044247787
0.75,0.95,339,273,0.9393939393939394,0.1946902654867257
0.75,0.9,339,272,0.9402985074626866,0.1976401179941003
0.75,0.85,339,272,0.9402985074626866,0.1976401179941003
0.75,0.8,339,271,0.9411764705882352,0.20058997050147487
0.75,0.75,339,270,0.9420289855072465,0.2035398230088496
0.75,0.7,339,270,0.9420289855072465,0.2035398230088496
0.75,0.65,339,266,0.9452054794520548,0.2153392330383481
0.75,0.6,339,266,0.9452054794520548,0.2153392330383481
0.75,0.55,339,261,0.9487179487179488,0.2300884955752213
0.75,0.5,339,257,0.9390243902439024,0.24188790560471976
0.75,0.45,339,249,0.9444444444444444,0.26548672566371684
0.75,0.4,339,239,0.92,0.2949852507374631
0.75,0.35,339,221,0.9322033898305084,0.3480825958702065
0.75,0.3,339,214,0.936,0.3687315634218289
0.75,0.25,339,205,0.9328358208955224,0.3952802359882006
0.75,0.2,339,195,0.9305555555555556,0.4247787610619469
0.7,0.95,339,252,0.9195402298850576,0.2566371681415929
0.7,0.9,339,246,0.9139784946236559,0.2743362831858407
0.7,0.85,339,241,0.9183673469387756,0.2890855457227139
0.7,0.8,339,232,0.9158878504672896,0.3156342182890856
0.7,0.75,339,226,0.9203539823008848,0.3333333333333333
0.7,0.7,339,217,0.918032786885246,0.35988200589970504
0.7,0.65,339,205,0.9253731343283582,0.3952802359882006
0.7,0.6,339,200,0.920863309352518,0.41002949852507375
0.7,0.55,339,186,0.9215686274509804,0.4513274336283186
0.7,0.5,339,177,0.9259259259259259,0.4778761061946903
0.7,0.45,339,169,0.9176470588235294,0.5014749262536873
0.7,0.4,339,156,0.9234972677595628,0.5398230088495575
0.7,0.35,339,143,0.9081632653061223,0.5781710914454278
0.7,0.3,339,138,0.9004975124378108,0.5929203539823009
0.7,0.25,339,132,0.9033816425120772,0.6106194690265486
0.7,0.2,339,120,0.8904109589041096,0.6460176991150443
0.65,0.95,339,205,0.9253731343283582,0.3952802359882006
0.65,0.9,339,196,0.9300699300699301,0.4218289085545723
0.65,0.85,339,186,0.9215686274509804,0.4513274336283186
0.65,0.8,339,171,0.9166666666666666,0.4955752212389381
0.65,0.75,339,165,0.9195402298850576,0.5132743362831859
0.65,0.7,339,155,0.9184782608695652,0.5427728613569321
0.65,0.65,339,149,0.9105263157894736,0.5604719764011801
0.65,0.6,339,143,0.9081632653061223,0.5781710914454278
0.65,0.55,339,130,0.8995215311004785,0.616519174041298
0.65,0.5,339,124,0.8976744186046511,0.6342182890855457
0.65,0.45,339,110,0.8908296943231441,0.6755162241887905
0.65,0.4,339,96,0.8888888888888888,0.7168141592920354
0.65,0.35,339,83,0.88671875,0.7551622418879056
0.65,0.3,339,78,0.8888888888888888,0.7699115044247787
0.65,0.25,339,65,0.8759124087591241,0.8082595870206489
0.65,0.2,339,61,0.8741007194244604,0.8200589970501475
0.6,0.95,339,156,0.9125683060109292,0.5398230088495575
0.6,0.9,339,147,0.9114583333333334,0.5663716814159292
0.6,0.85,339,138,0.9004975124378108,0.5929203539823009
0.6,0.8,339,127,0.8915094339622641,0.6253687315634219
0.6,0.75,339,119,0.8863636363636364,0.6489675516224189
0.6,0.7,339,112,0.8810572687224669,0.6696165191740413
0.6,0.65,339,97,0.8842975206611571,0.7138643067846607
0.6,0.6,339,92,0.8866396761133604,0.7286135693215339
0.6,0.55,339,78,0.8888888888888888,0.7699115044247787
0.6,0.5,339,70,0.8847583643122676,0.7935103244837758
0.6,0.45,339,62,0.8736462093862816,0.8171091445427728
0.6,0.4,339,55,0.8626760563380281,0.8377581120943953
0.6,0.35,339,46,0.8532423208191127,0.8643067846607669
0.6,0.3,339,36,0.8514851485148515,0.8938053097345132
0.6,0.25,339,29,0.8419354838709677,0.9144542772861356
0.6,0.2,339,24,0.8380952380952381,0.9292035398230089
0.55,0.95,339,119,0.8909090909090909,0.6489675516224189
0.55,0.9,339,113,0.8893805309734514,0.6666666666666666
0.55,0.85,339,100,0.8912133891213392,0.7050147492625368
0.55,0.8,339,88,0.8884462151394422,0.7404129793510325
0.55,0.75,339,76,0.8859315589353612,0.775811209439528
0.55,0.7,339,70,0.8810408921933085,0.7935103244837758
0.55,0.65,339,58,0.8612099644128114,0.8289085545722714
0.55,0.6,339,53,0.8601398601398601,0.8436578171091446
0.55,0.55,339,40,0.8494983277591973,0.8820058997050148
0.55,0.5,339,31,0.8474025974025974,0.9085545722713864
0.55,0.45,339,27,0.8429487179487181,0.9203539823008848
0.55,0.4,339,21,0.8364779874213837,0.9380530973451328
0.55,0.35,339,15,0.8240740740740741,0.9557522123893806
0.55,0.3,339,7,0.8162650602409639,0.9793510324483776
0.55,0.25,339,5,0.811377245508982,0.9852507374631267
0.55,0.2,339,2,0.8100890207715133,0.9941002949852508
0.5,0.95,339,85,0.8779527559055118,0.7492625368731564
0.5,0.9,339,71,0.8768656716417911,0.7905604719764012
0.5,0.85,339,55,0.8626760563380281,0.8377581120943953
0.5,0.8,339,44,0.8508474576271187,0.8702064896755162
0.5,0.75,339,35,0.8453947368421053,0.8967551622418879
0.5,0.7,339,31,0.8441558441558441,0.9085545722713864
0.5,0.65,339,25,0.8375796178343949,0.9262536873156342
0.5,0.6,339,16,0.826625386996904,0.952802359882006
0.5,0.55,339,10,0.817629179331307,0.9705014749262536
0.5,0.5,339,2,0.8189910979228486,0.9941002949852508
0.5,0.45,339,0,0.8171091445427728,1.0
0.5,0.4,339,0,0.8112094395280236,1.0
0.5,0.35,339,0,0.8082595870206489,1.0
0.5,0.3,339,0,0.8082595870206489,1.0
0.5,0.25,339,0,0.8082595870206489,1.0
0.5,0.2,339,0,0.8082595870206489,1.0
0.45,0.95,339,40,0.8461538461538461,0.8820058997050148
0.45,0.9,339,32,0.8403908794788274,0.9056047197640118
0.45,0.85,339,20,0.8307210031347962,0.9410029498525072
0.45,0.8,339,12,0.8226299694189603,0.9646017699115044
0.45,0.75,339,3,0.8154761904761905,0.991150442477876
0.45,0.7,339,0,0.8082595870206489,1.0
0.45,0.65,339,0,0.8082595870206489,1.0
0.45,0.6,339,0,0.8112094395280236,1.0
0.45,0.55,339,0,0.8171091445427728,1.0
0.45,0.5,339,0,0.8171091445427728,1.0
0.45,0.45,339,0,0.8171091445427728,1.0
0.45,0.4,339,0,0.8112094395280236,1.0
0.45,0.35,339,0,0.8082595870206489,1.0
0.45,0.3,339,0,0.8082595870206489,1.0
0.45,0.25,339,0,0.8082595870206489,1.0
0.45,0.2,339,0,0.8082595870206489,1.0
0.4,0.95,339,5,0.8143712574850299,0.9852507374631267
0.4,0.9,339,0,0.8082595870206489,1.0
0.4,0.85,339,0,0.8053097345132744,1.0
0.4,0.8,339,0,0.8082595870206489,1.0
0.4,0.75,339,0,0.8082595870206489,1.0
0.4,0.7,339,0,0.8082595870206489,1.0
0.4,0.65,339,0,0.8082595870206489,1.0
0.4,0.6,339,0,0.8112094395280236,1.0
0.4,0.55,339,0,0.8171091445427728,1.0
0.4,0.5,339,0,0.8171091445427728,1.0
0.4,0.45,339,0,0.8171091445427728,1.0
0.4,0.4,339,0,0.8112094395280236,1.0
0.4,0.35,339,0,0.8082595870206489,1.0
0.4,0.3,339,0,0.8082595870206489,1.0
0.4,0.25,339,0,0.8082595870206489,1.0
0.4,0.2,339,0,0.8082595870206489,1.0
0.35,0.95,339,0,0.8082595870206489,1.0
0.35,0.9,339,0,0.8082595870206489,1.0
0.35,0.85,339,0,0.8053097345132744,1.0
0.35,0.8,339,0,0.8082595870206489,1.0
0.35,0.75,339,0,0.8082595870206489,1.0
0.35,0.7,339,0,0.8082595870206489,1.0
0.35,0.65,339,0,0.8082595870206489,1.0
0.35,0.6,339,0,0.8112094395280236,1.0
0.35,0.55,339,0,0.8171091445427728,1.0
0.35,0.5,339,0,0.8171091445427728,1.0
0.35,0.45,339,0,0.8171091445427728,1.0
0.35,0.4,339,0,0.8112094395280236,1.0
0.35,0.35,339,0,0.8082595870206489,1.0
0.35,0.3,339,0,0.8082595870206489,1.0
0.35,0.25,339,0,0.8082595870206489,1.0
0.35,0.2,339,0,0.8082595870206489,1.0
0.3,0.95,339,0,0.8082595870206489,1.0
0.3,0.9,339,0,0.8082595870206489,1.0
0.3,0.85,339,0,0.8053097345132744,1.0
0.3,0.8,339,0,0.8082595870206489,1.0
0.3,0.75,339,0,0.8082595870206489,1.0
0.3,0.7,339,0,0.8082595870206489,1.0
0.3,0.65,339,0,0.8082595870206489,1.0
0.3,0.6,339,0,0.8112094395280236,1.0
0.3,0.55,339,0,0.8171091445427728,1.0
0.3,0.5,339,0,0.8171091445427728,1.0
0.3,0.45,339,0,0.8171091445427728,1.0
0.3,0.4,339,0,0.8112094395280236,1.0
0.3,0.35,339,0,0.8082595870206489,1.0
0.3,0.3,339,0,0.8082595870206489,1.0
0.3,0.25,339,0,0.8082595870206489,1.0
0.3,0.2,339,0,0.8082595870206489,1.0
0.25,0.95,339,0,0.8082595870206489,1.0
0.25,0.9,339,0,0.8082595870206489,1.0
0.25,0.85,339,0,0.8053097345132744,1.0
0.25,0.8,339,0,0.8082595870206489,1.0
0.25,0.75,339,0,0.8082595870206489,1.0
0.25,0.7,339,0,0.8082595870206489,1.0
0.25,0.65,339,0,0.8082595870206489,1.0
0.25,0.6,339,0,0.8112094395280236,1.0
0.25,0.55,339,0,0.8171091445427728,1.0
0.25,0.5,339,0,0.8171091445427728,1.0
0.25,0.45,339,0,0.8171091445427728,1.0
0.25,0.4,339,0,0.8112094395280236,1.0
0.25,0.35,339,0,0.8082595870206489,1.0
0.25,0.3,339,0,0.8082595870206489,1.0
0.25,0.25,339,0,0.8082595870206489,1.0
0.25,0.2,339,0,0.8082595870206489,1.0
0.2,0.95,339,0,0.8082595870206489,1.0
0.2,0.9,339,0,0.8082595870206489,1.0
0.2,0.85,339,0,0.8053097345132744,1.0
0.2,0.8,339,0,0.8082595870206489,1.0
0.2,0.75,339,0,0.8082595870206489,1.0
0.2,0.7,339,0,0.8082595870206489,1.0
0.2,0.65,339,0,0.8082595870206489,1.0
0.2,0.6,339,0,0.8112094395280236,1.0
0.2,0.55,339,0,0.8171091445427728,1.0
0.2,0.5,339,0,0.8171091445427728,1.0
0.2,0.45,339,0,0.8171091445427728,1.0
0.2,0.4,339,0,0.8112094395280236,1.0
0.2,0.35,339,0,0.8082595870206489,1.0
0.2,0.3,339,0,0.8082595870206489,1.0
0.2,0.25,339,0,0.8082595870206489,1.0
0.2,0.2,339,0,0.8082595870206489,1.0
